accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
0.153956567,0.54296047,0.645938644,0.81098733,-0.386152899,-2.463244927,-2.27887317,1.955000476,-1.184463885,0.138253616,-1.179184409,-0.250126962,-0.09594237,0.03742648,0.039733501
0.025289257,1.041142033,-0.118771826,-0.232684752,-0.260390089,-0.205281932,-2.733602595,0.414993134,-1.440189139,-0.94114845,0.310441472,0.531471095,0.047398165,-0.041465552,-0.183238738
-0.00621697,0.990223456,-0.156081257,-3.821635736,0.339352477,-0.819841095,-3.046671679,1.738735245,-1.095797488,1.2175727,-0.482825202,-0.694924021,-0.017301543,0.073505371,-0.270901157
-0.501287797,0.871169749,-0.484628042,1.430915043,-2.690649577,-0.028162089,1.129896911,-0.545583527,-1.481037608,1.675032132,-1.780536665,1.255525341,-0.364030026,-0.152441568,-0.071943863
0.509046089,0.871701948,-0.212122167,-0.640893878,-0.069785574,-0.516011521,1.683513946,1.802366151,-1.347388975,-0.002740653,-0.803672003,0.102727729,-0.257955701,-0.126345807,-0.155745314
-0.155512013,1.346790729,-0.331729022,3.883667078,-0.653302866,-0.26092235,1.287194521,0.332850714,-1.358280126,1.689485096,-0.57181099,0.617212142,0.317945454,-0.253602111,0.575459273
-0.218628077,1.042531057,0.211565696,2.282642317,-1.035310672,0.826928237,2.054151677,-0.088920629,-1.332624698,-1.877624067,-0.879439458,0.617496083,-0.217699886,0.217721962,0.959463691
0.160231674,0.926515928,0.111173091,1.708801379,3.088581173,-0.050593392,0.893456915,1.17772136,-0.929544208,1.438987842,-1.031772692,-0.818826698,-0.884153523,-0.029673853,-0.469979692
0.161644384,-0.018407291,0.021860743,0.745024269,-1.049973939,0.162754403,-1.165267723,0.151588847,-1.152399111,2.377152473,-1.55373575,-0.436314692,-0.471201368,0.292310644,0.358505686
-0.537163372,1.144886761,0.181683233,0.765019231,-4.068515621,0.216210603,-3.039516452,-0.770972173,-1.351535546,0.189134377,0.698307437,0.207451525,-0.339219761,-0.005188832,0.088455269
0.681239266,0.841692079,-0.179427832,2.297414016,-0.771920483,-0.161744583,-2.401652629,0.419365806,-1.250387292,0.223290744,-0.439572701,-1.078147223,-0.019860188,-0.264042968,-0.001089587
-0.128886126,1.3809935,0.038663693,-0.761758136,0.561402019,0.021958704,-0.205779359,1.144474758,-1.25972385,-0.26196964,-2.401754269,0.137053298,-0.142872219,0.056430179,0.090759445
0.956488614,2.690036852,0.003003553,-0.812176624,-0.609356007,0.658330693,2.832398006,-2.667477104,-0.553041291,0.070426917,-1.925913002,-0.0239512,-0.02625534,-0.597541998,-0.225811279
0.079107114,0.828528016,0.213776625,-1.050537499,1.999219518,0.233257362,-2.978505802,-2.812470274,-1.175308834,-3.650133527,-1.056875528,-0.083390181,-0.028453555,0.079043487,0.840106732
-0.011402288,0.952699048,-0.080185757,1.954680831,-0.24962907,0.866801079,-0.767208452,1.324713214,-1.419743272,-0.819609749,-0.018019542,0.303210747,0.065209215,-0.097082731,-0.38914234
