accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
0.866294484,0.4784077,-0.211557062,0.016986885,0.053352332,0.011314416,2.392289491,1.385460303,-0.63203862,-0.021026548,0.036993822,0.030960629,0.052360141,0.019774254,0.064158388
0.562048458,1.20211728,-0.417859644,0.734229979,-1.323840261,0.296103547,1.660552333,-3.121581637,-1.33220492,1.833978537,-2.431673727,0.453275683,0.126367509,0.214289537,-0.267315379
0.085349468,0.896615067,0.574086236,0.529205609,1.447480034,-0.859285809,2.421808192,-0.080966497,-1.362584706,0.504675352,1.928087897,-0.955349886,0.167441216,-0.174135045,0.116782694
0.453790802,1.203345447,-0.097659902,-1.124820221,-0.439620655,0.093515515,-0.935372125,-0.113491056,-1.2458767,-0.143824565,-0.473870635,0.043890458,0.503709019,0.367183119,0.19001645
0.866748409,0.767825826,-0.048822298,-0.073340814,-0.10515123,0.065510259,0.871371381,1.514156296,-0.688127249,-0.049703256,-0.084888709,0.063381334,-0.027329082,-0.003526646,-0.08308693
-0.177663067,1.162005494,-0.491132782,-0.840072575,-2.408049431,1.209158431,-1.240949172,1.449594809,-1.343878734,-0.751211263,-2.711199486,1.025611838,-0.371166453,0.0704591,-0.613719777
0.184877714,1.078638735,0.013992405,0.369439521,-1.3842459,-0.110283588,-1.703411004,0.196362618,-1.291120071,0.551946386,-1.281347797,-0.126018019,-0.005041732,0.103603997,0.142098175
0.256172175,1.01203882,0.080163603,1.773467899,-2.526556134,-0.486883742,3.036103455,1.47921298,-1.441245336,1.915527678,-2.513146987,-0.315254638,0.152235338,-0.306404965,-0.114835507
0.763849366,0.509088405,-0.029537021,0.052091848,1.080954767,-0.297992272,-1.148114385,1.356578456,-0.754514492,0.042252941,0.880362533,-0.310628736,0.05854305,-0.161600293,0.097557881
0.731246916,0.540727007,-0.136778329,0.472487697,-0.893585169,-0.233830328,2.090772036,1.5617343,-0.601192384,0.526981853,-0.942510529,-0.292471895,-0.115547117,0.012008069,-0.021901228
0.270807107,1.082012607,-0.022904358,0.523441467,-0.062726058,-0.559267028,-2.561500218,-0.24825708,-1.289697457,0.629314324,-0.169929486,-0.521725337,0.329417999,0.093992311,0.28995713
-0.23652572,0.231937387,-0.106160824,-2.950444372,2.493886914,-0.058350899,0.434195234,-2.832850022,-1.159094903,-2.558008642,2.046752834,-0.698576171,0.425508498,-0.302868744,-0.483850083
0.257393841,0.811296735,-0.13804852,2.61918314,-1.678562896,-1.006717519,-2.922928911,-0.213922968,-1.403186311,3.223848337,-2.024557614,-0.985512976,0.216432392,-0.171949943,-0.107689604
0.524165209,0.550376131,0.02445336,1.105968415,0.640054761,-0.089555554,-2.870482701,1.747322319,-0.513577772,1.035379256,0.589221633,-0.141821348,-0.230229298,0.01749581,-0.043944604
0.058380678,0.913610846,-0.15970191,0.896512237,-1.080762128,-0.481579987,2.547170263,0.444509745,-1.326175364,2.139654689,-0.935914569,-0.351306386,-0.000237674,0.160862595,0.055150107
0.95136719,0.947358501,-0.469707159,-2.934351272,-0.236843154,1.649670447,-1.729389152,1.533427749,-0.692896665,-2.75040387,-0.465124212,1.722719563,-0.211174501,-0.086095722,0.057460532
-0.590234967,0.010391284,0.464574054,-1.310106185,-0.57951707,0.212237286,1.918677784,-2.76909737,-1.094527293,-2.028794331,0.382676885,0.609868521,0.169470841,0.544712254,0.024998156
-0.041852384,0.93148605,0.064426443,-1.462246787,-1.657029581,0.066951526,1.45895058,2.451114043,-1.442390246,-1.090297357,-2.490749243,0.186015136,-0.099437184,-0.17770398,-0.063778483
0.363425661,0.993372708,0.288721042,1.424629345,0.71558882,-0.748393085,-1.048385371,0.082761906,-1.375903917,1.812589549,0.736009173,-0.630469248,0.334707799,0.053747741,0.451987285
0.497985478,1.108350571,0.210922792,1.884803848,-0.119545676,-0.423988751,1.693814965,1.768041167,-1.157909439,2.447034626,-1.890985154,-0.843197387,0.389488438,0.077253737,0.024501865
-0.269678667,1.945101947,0.776544273,0.739434554,-0.889637408,-1.01606241,-1.468195241,-2.743639316,-1.139996764,0.880074113,0.702322698,0.720408485,-0.533205497,-0.268751485,-0.2637057
0.672176662,0.201749174,0.046841187,-0.474479384,-0.054872607,-0.30391247,2.592300874,1.696708034,-0.6136705,-0.455882072,-0.013396458,-0.175645796,-0.185128633,-0.168990443,-0.124528751
-0.013114272,1.104305542,-0.189120804,1.595753645,-1.575450241,-0.389569896,-1.086726463,-0.087337863,-1.32376181,1.375833658,-0.994878611,-0.534789706,0.075521085,-0.108111758,0.375325281
0.297083459,0.339145509,-0.520248373,2.494410142,-1.428949707,-0.328947912,1.813286314,0.368492492,-1.187321512,2.547547741,-1.665867495,-0.366903177,-0.27203207,-0.230606401,0.567628051
0.216387355,1.099021237,-0.335994736,-0.638052663,-0.925609246,-0.151680895,-0.632493939,0.573231524,-1.233262073,-2.630119595,1.384539508,0.606351905,0.008681626,0.404015009,-0.103903751
0.36831172,1.175665603,-0.176848656,0.08732902,0.328230138,0.537259374,-2.73585546,-0.507946002,-1.304675069,-0.240932735,-0.327347881,0.52106,0.155423266,0.266181764,0.18749135
0.726244654,0.673400571,-0.276372369,0.652498794,-0.057226435,-0.405383825,1.822428976,1.346760617,-0.74690413,0.72184012,0.373153633,-0.44693798,0.089311922,-0.117536257,-0.01359716
-0.27374985,1.278039929,0.125543676,0.613055338,-0.07270758,-0.404788879,1.403161076,2.336335926,-1.427413192,-0.481409651,0.563905316,-0.174160705,-0.033091692,0.167793583,0.108284717
-0.151221278,0.498167823,0.901534245,-2.372262161,2.642048678,-0.394371197,1.72881036,-2.794041291,-1.144769991,-2.911183825,1.821957331,-0.322664762,0.102767213,-0.294095933,-0.303526959
